"Story","Title","Result","Date","Stability","Duration (s)"
"ODT-608-GetPrescriptionStatus","Successful prescription status retrieval","SUCCESS","2021-01-21T09:31:44.761Z[Etc/UTC]","0.0","4.66"
"ODT-608-GetPrescriptionStatus","Successful prescription status retrieval using patient date of birth as access code","SUCCESS","2021-01-21T09:31:49.444Z[Etc/UTC]","0.0","1.0"
"ODT-608-GetPrescriptionStatus","Get prescription status request without subscription token","SUCCESS","2021-01-21T09:31:50.452Z[Etc/UTC]","0.0","0.31"
"ODT-608-GetPrescriptionStatus","Get prescription status request without access token","SUCCESS","2021-01-21T09:31:50.774Z[Etc/UTC]","0.0","0.32"
"ODT-608-GetPrescriptionStatus","Get prescription status request without prescriptionId","SUCCESS","2021-01-21T09:31:51.096Z[Etc/UTC]","0.0","0.79"
"ODT-608-GetPrescriptionStatus","Get prescription status request with invalid prescriptionId and access code combination (service exception)","SUCCESS","2021-01-21T09:31:51.888Z[Etc/UTC]","0.0","4.88"
"ODT-608-GetPrescriptionStatus","Get prescription status request with invalid prescriptionId (input exception)","SUCCESS","2021-01-21T09:31:56.774Z[Etc/UTC]","0.0","0.32"
"ODT-608-GetPrescriptionStatus","Get prescription status request without access code","SUCCESS","2021-01-21T09:31:57.109Z[Etc/UTC]","0.0","0.3"
"ODT-608-GetPrescriptionStatus","Get prescription status request without system name","SUCCESS","2021-01-21T09:31:57.413Z[Etc/UTC]","0.0","0.32"
"ODT-608-GetPrescriptionStatus","Get prescription status request without system version","SUCCESS","2021-01-21T09:31:57.734Z[Etc/UTC]","0.0","0.3"
