"Story","Title","Result","Date","Stability","Duration (s)"
"ODT-608-GetPrescriptionStatus","Successful prescription status retrieval","SUCCESS","2021-01-21T09:31:44.761Z[Etc/UTC]","0.0","4.66"
"ODT-608-GetPrescriptionStatus","Successful prescription status retrieval using patient date of birth as access code","SUCCESS","2021-01-21T09:31:49.444Z[Etc/UTC]","0.0","1.0"
"ODT-608-GetPrescriptionStatus","Get prescription status request without subscription token","SUCCESS","2021-01-21T09:31:50.452Z[Etc/UTC]","0.0","0.31"
"ODT-608-GetPrescriptionStatus","Get prescription status request without access token","SUCCESS","2021-01-21T09:31:50.774Z[Etc/UTC]","0.0","0.32"
"ODT-608-GetPrescriptionStatus","Get prescription status request without prescriptionId","SUCCESS","2021-01-21T09:31:51.096Z[Etc/UTC]","0.0","0.79"
"ODT-608-GetPrescriptionStatus","Get prescription status request with invalid prescriptionId and access code combination (service exception)","SUCCESS","2021-01-21T09:31:51.888Z[Etc/UTC]","0.0","4.88"
"ODT-608-GetPrescriptionStatus","Get prescription status request with invalid prescriptionId (input exception)","SUCCESS","2021-01-21T09:31:56.774Z[Etc/UTC]","0.0","0.32"
"ODT-608-GetPrescriptionStatus","Get prescription status request without access code","SUCCESS","2021-01-21T09:31:57.109Z[Etc/UTC]","0.0","0.3"
"ODT-608-GetPrescriptionStatus","Get prescription status request without system name","SUCCESS","2021-01-21T09:31:57.413Z[Etc/UTC]","0.0","0.32"
"ODT-608-GetPrescriptionStatus","Get prescription status request without system version","SUCCESS","2021-01-21T09:31:57.734Z[Etc/UTC]","0.0","0.3"
"ODT-609-GetPrescriptionDetails","Successful prescription details retrieval","SUCCESS","2021-01-21T09:31:58.044Z[Etc/UTC]","0.0","1.05"
"ODT-609-GetPrescriptionDetails","Successful prescription details retrieval using patient date of birth as access code","SUCCESS","2021-01-21T09:31:59.123Z[Etc/UTC]","0.0","0.89"
"ODT-609-GetPrescriptionDetails","Get prescription details request without subscription token","SUCCESS","2021-01-21T09:32:00.031Z[Etc/UTC]","0.0","0.28"
"ODT-609-GetPrescriptionDetails","Get prescription details request without access token","SUCCESS","2021-01-21T09:32:00.32Z[Etc/UTC]","0.0","0.33"
"ODT-609-GetPrescriptionDetails","Get prescription details request without prescriptionId","SUCCESS","2021-01-21T09:32:00.652Z[Etc/UTC]","0.0","0.64"
"ODT-609-GetPrescriptionDetails","Get prescription details request with invalid prescriptionId and access code combination (service exception)","SUCCESS","2021-01-21T09:32:01.298Z[Etc/UTC]","0.0","0.96"
"ODT-609-GetPrescriptionDetails","Get prescription details request with invalid prescriptionId (input exception)","SUCCESS","2021-01-21T09:32:02.258Z[Etc/UTC]","0.0","0.27"
"ODT-609-GetPrescriptionDetails","Get prescription details request without access code","SUCCESS","2021-01-21T09:32:02.528Z[Etc/UTC]","0.0","0.28"
"ODT-609-GetPrescriptionDetails","Get prescription details request without system name","SUCCESS","2021-01-21T09:32:02.806Z[Etc/UTC]","0.0","0.3"
"ODT-609-GetPrescriptionDetails","Get prescription details request without system version","SUCCESS","2021-01-21T09:32:03.104Z[Etc/UTC]","0.0","0.61"
"ODT-610-SetPrescriptionReservation","Successful Prescription Reservation","FAILURE","2021-01-21T09:32:03.716Z[Etc/UTC]","0.0","1.63"
"ODT-610-SetPrescriptionReservation","Set prescription reservation request without subscription token","SUCCESS","2021-01-21T09:32:05.344Z[Etc/UTC]","0.0","0.42"
"ODT-610-SetPrescriptionReservation","Set prescription reservation request without access token","SUCCESS","2021-01-21T09:32:05.781Z[Etc/UTC]","0.0","0.33"
"ODT-610-SetPrescriptionReservation","Set prescription reservation request without system name","SUCCESS","2021-01-21T09:32:06.113Z[Etc/UTC]","0.0","1.42"
"ODT-610-SetPrescriptionReservation","Set prescription reservation request without system version","SUCCESS","2021-01-21T09:32:07.538Z[Etc/UTC]","0.0","0.89"
"ODT-611-GetPrescriptionReservationStatus","Successful Prescription Reservation","FAILURE","2021-01-21T09:32:08.43Z[Etc/UTC]","0.0","1.64"
"ODT-611-GetPrescriptionReservationStatus","Successful prescription reservation status retrieval","FAILURE","2021-01-21T09:32:10.075Z[Etc/UTC]","0.0","0.31"
"ODT-611-GetPrescriptionReservationStatus","Get prescription reservation status request without subscription token","SUCCESS","2021-01-21T09:32:10.388Z[Etc/UTC]","0.0","0.27"
"ODT-611-GetPrescriptionReservationStatus","Get prescription reservation status request without access token","SUCCESS","2021-01-21T09:32:10.663Z[Etc/UTC]","0.0","0.27"
"ODT-611-GetPrescriptionReservationStatus","Get prescription reservation status request without prescriptionId","SUCCESS","2021-01-21T09:32:10.94Z[Etc/UTC]","0.0","0.75"
"ODT-611-GetPrescriptionReservationStatus","Get prescription reservation status request with invalid prescriptionId and access code combination (service exception)","SUCCESS","2021-01-21T09:32:11.695Z[Etc/UTC]","0.0","0.27"
"ODT-611-GetPrescriptionReservationStatus","Get prescription reservation status request with invalid prescriptionId (input exception)","SUCCESS","2021-01-21T09:32:11.97Z[Etc/UTC]","0.0","0.28"
"ODT-611-GetPrescriptionReservationStatus","Get prescription reservation status request without documentTechId","SUCCESS","2021-01-21T09:32:12.252Z[Etc/UTC]","0.0","0.28"
