"Story","Title","Result","Date","Stability","Duration (s)"
"ODT-610-SetPrescriptionReservation","Successful Prescription Reservation","FAILURE","2021-01-21T09:32:03.716Z[Etc/UTC]","0.0","1.63"
"ODT-611-GetPrescriptionReservationStatus","Successful Prescription Reservation","FAILURE","2021-01-21T09:32:08.43Z[Etc/UTC]","0.0","1.64"
"ODT-611-GetPrescriptionReservationStatus","Successful prescription reservation status retrieval","FAILURE","2021-01-21T09:32:10.075Z[Etc/UTC]","0.0","0.31"
"ODT-612-GetPrescriptionReservationResult","Successful Prescription Reservation","FAILURE","2021-01-21T09:32:13.113Z[Etc/UTC]","0.0","1.22"
"ODT-612-GetPrescriptionReservationResult","Successful prescription reservation result retrieval","FAILURE","2021-01-21T09:32:14.337Z[Etc/UTC]","0.0","0.77"
"ODT-613-SetPrescriptionRealisation","Successful prescription realisation","FAILURE","2021-01-21T09:32:18.229Z[Etc/UTC]","0.0","1.18"
"ODT-614-GetPrescriptionRealisationStatus","Successful prescription realisation","FAILURE","2021-01-21T09:32:22.347Z[Etc/UTC]","0.0","1.72"
"ODT-614-GetPrescriptionRealisationStatus","Successful prescription realisation status retrieval","FAILURE","2021-01-21T09:32:24.079Z[Etc/UTC]","0.0","0.31"
"ODT-615-GetPrescriptionRealisationResult","Successful prescription realisation","FAILURE","2021-01-21T09:32:27.508Z[Etc/UTC]","0.0","1.54"
"ODT-615-GetPrescriptionRealisationResult","Successful prescription realisation result retrieval","FAILURE","2021-01-21T09:32:29.055Z[Etc/UTC]","0.0","0.3"
"ODT-616-CancelPrescriptionReservation","Successful prescription reservation and cancellation","FAILURE","2021-01-21T09:32:31.878Z[Etc/UTC]","0.0","1.06"
"ODT-617-CancelPrescriptionRealisation","Successful prescription realisation and cancellation","FAILURE","2021-01-21T09:32:36.018Z[Etc/UTC]","0.0","1.93"
